"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","log2FoldChange","padj","pvalue","peak_key","source_method"
"chr1",4857037,4857189,153,"*","Promoter (<=1kb)",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",-625,7.54048129610169,0.0379861405987896,0.00266927658585388,"chr1:4857037:4857189","deseq2"
"chr1",4873690,4873862,173,"*","Intron (ENSMUST00000155020.1/18777, intron 8 of 9)",1,4858038,4897909,39872,1,"21399","ENSMUST00000165720.2",15652,-8.20771517311247,0.00221605680011253,7.92031951517988e-05,"chr1:4873690:4873862","deseq2"
"chr1",9747377,9747739,363,"*","Promoter (<=1kb)",1,9747648,9791922,44275,1,"73331","ENSMUST00000181821.7",0,9.40025238970089,1.77529611141837e-06,1.08285002255623e-08,"chr1:9747377:9747739","deseq2"
"chr1",9784157,9784308,152,"*","Intron (ENSMUST00000181821.7/73331, intron 2 of 3)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",-13799,-8.71354625491394,4.1617507502174e-05,6.43889476132325e-07,"chr1:9784157:9784308","deseq2"
"chr1",9798094,9798246,153,"*","Promoter (<=1kb)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",0,-8.12342299482181,0.00410653492186145,0.000167385360731746,"chr1:9798094:9798246","deseq2"
"chr1",9798509,9798681,173,"*","Promoter (<=1kb)",1,9798208,9900008,101801,1,"170755","ENSMUST00000188298.6",301,8.0174071901581,0.00566920378031796,0.000247496465899943,"chr1:9798509:9798681","deseq2"
"chr1",13372066,13372383,318,"*","Promoter (<=1kb)",1,13182284,13372429,190146,2,"17978","ENSMUST00000139970.7",46,-1.04219896956187,0.0112648546909223,0.000574963131254424,"chr1:13372066:13372383","deseq2"
"chr1",13373310,13373468,159,"*","Promoter (<=1kb)",1,13165925,13374029,208105,2,"17978","ENSMUST00000143603.7",561,-7.60391962636542,0.0368726110627229,0.00257838391966532,"chr1:13373310:13373468","deseq2"
"chr1",13373574,13373865,292,"*","Promoter (<=1kb)",1,13165925,13374029,208105,2,"17978","ENSMUST00000143603.7",164,-8.83466217807177,5.41846733693062e-05,8.86599213016147e-07,"chr1:13373574:13373865","deseq2"
"chr1",15805293,15805448,156,"*","Promoter (<=1kb)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",-198,7.95960232785381,0.00712532886688864,0.000329133669581629,"chr1:15805293:15805448","deseq2"
"chr1",16665356,16665514,159,"*","Promoter (<=1kb)",1,16665236,16665811,576,1,"70397","ENSMUST00000176451.1",120,8.03382644638845,0.00454331588924329,0.00018775769596256,"chr1:16665356:16665514","deseq2"
"chr1",20819982,20820274,293,"*","Promoter (<=1kb)",1,20802973,20820260,17288,2,"17215","ENSMUST00000185296.1",0,8.75315581093521,1.8635648815245e-05,2.40748380136978e-07,"chr1:20819982:20820274","deseq2"
"chr1",23255685,23255850,166,"*","Exon (ENSMUST00000193885.1/ENSMUST00000193885.1, exon 1 of 1)",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",-16419,-7.73896183135961,0.0223837649750214,0.00137144424827682,"chr1:23255685:23255850","deseq2"
"chr1",23826970,23827348,379,"*","Intron (ENSMUST00000063663.5/280645, intron 2 of 3)",1,23846178,23847777,1600,2,"98366","ENSMUST00000136506.1",20429,1.63991911946023,0.0108440535718013,0.000549312947879032,"chr1:23826970:23827348","deseq2"
"chr1",23899633,23899889,257,"*","Intron (ENSMUST00000149737.7/98366, intron 1 of 10)",1,23848795,23891994,43200,2,"98366","ENSMUST00000133398.1",-7639,1.05465307738185,0.0316662844033177,0.00212736230866802,"chr1:23899633:23899889","deseq2"
"chr1",23919175,23919342,168,"*","Promoter (2-3kb)",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",2975,7.73886094735859,0.0183147631547779,0.00105812355620511,"chr1:23919175:23919342","deseq2"
"chr1",23920639,23920791,153,"*","Promoter (1-2kb)",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",1526,7.49854487563952,0.043638546900167,0.00319834586279873,"chr1:23920639:23920791","deseq2"
