"log2FoldChange","pvalue","padj","peak_key","chr","start","end","source_method"
6.13923164500303,0.00222977464933511,0.0400222346006036,"chr1:4857037:4857189","chr1",4857037,4857189,"limma_voom"
-6.75700196161716,0.000737148625346738,0.0223008829886003,"chr1:4873690:4873862","chr1",4873690,4873862,"limma_voom"
7.97119041470683,0.000392997342762388,0.0214782944073522,"chr1:9747377:9747739","chr1",9747377,9747739,"limma_voom"
-7.27096528786204,0.000375477349839139,0.0214782944073522,"chr1:9784157:9784308","chr1",9784157,9784308,"limma_voom"
-6.72775409196973,0.000924084756222472,0.0245181128053037,"chr1:9798094:9798246","chr1",9798094,9798246,"limma_voom"
6.64099635326392,0.00080629708089406,0.0229658625705145,"chr1:9798509:9798681","chr1",9798509,9798681,"limma_voom"
-7.21056146667812,0.000664545550459262,0.0216570744003162,"chr1:13373574:13373865","chr1",13373574,13373865,"limma_voom"
6.42391079294713,0.000928533335299698,0.0245475326149475,"chr1:15805293:15805448","chr1",15805293,15805448,"limma_voom"
6.63483353171946,0.000681665319776446,0.0218172224596522,"chr1:16665356:16665514","chr1",16665356,16665514,"limma_voom"
7.33364930833362,0.000255597937658399,0.0214782944073522,"chr1:20819982:20820274","chr1",20819982,20820274,"limma_voom"
-6.29114394603256,0.00241657001753018,0.0421025938523872,"chr1:23255685:23255850","chr1",23255685,23255850,"limma_voom"
6.37739274070958,0.00131591408669002,0.0290404196436812,"chr1:23919175:23919342","chr1",23919175,23919342,"limma_voom"
6.03019909876142,0.00264709040000595,0.0442502121179456,"chr1:23920639:23920791","chr1",23920639,23920791,"limma_voom"
-7.30920965074602,0.000358497191056177,0.0214782944073522,"chr1:23921997:23922294","chr1",23921997,23922294,"limma_voom"
6.32707492597855,0.00157026083085426,0.0320865080734125,"chr1:23922537:23922746","chr1",23922537,23922746,"limma_voom"
-6.5247108813183,0.00135629915355069,0.0295519203482255,"chr1:33574284:33574543","chr1",33574284,33574543,"limma_voom"
-6.35407182460841,0.00198878786578283,0.0372316646625367,"chr1:36131113:36131294","chr1",36131113,36131294,"limma_voom"
-6.45784709282035,0.00163246528454523,0.0328482096719552,"chr1:36131685:36131874","chr1",36131685,36131874,"limma_voom"
6.26604569515483,0.00220269972725677,0.039736867162525,"chr1:36444703:36444856","chr1",36444703,36444856,"limma_voom"
7.20749989964932,0.000287705220778962,0.0214782944073522,"chr1:36916273:36916426","chr1",36916273,36916426,"limma_voom"
-6.46557481026291,0.00194464123077054,0.0366668333692227,"chr1:37540964:37541205","chr1",37540964,37541205,"limma_voom"
-7.12478719155544,0.000457268593072404,0.0214782944073522,"chr1:37872298:37872479","chr1",37872298,37872479,"limma_voom"
-7.43701073225163,0.000306327457801597,0.0214782944073522,"chr1:37998509:37998679","chr1",37998509,37998679,"limma_voom"
