"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","peak_key","chr","start","end","source_method"
17.6417912888347,7.54048129610169,2.51059727808236,3.00346111338943,0.00266927658585388,0.0379861405987896,"chr1:4857037:4857189","chr1",4857037,4857189,"deseq2"
26.5579532145881,-8.20771517311247,2.07958815125108,-3.94679839283308,7.92031951517988e-05,0.00221605680011253,"chr1:4873690:4873862","chr1",4873690,4873862,"deseq2"
63.8913667171902,9.40025238970089,1.64420172784809,5.71721354532561,1.08285002255623e-08,1.77529611141837e-06,"chr1:9747377:9747739","chr1",9747377,9747739,"deseq2"
37.7097880348254,-8.71354625491394,1.75056380477525,-4.97756564550507,6.43889476132325e-07,4.1617507502174e-05,"chr1:9784157:9784308","chr1",9784157,9784308,"deseq2"
25.0337547788455,-8.12342299482181,2.15833321860564,-3.76374830577358,0.000167385360731746,0.00410653492186145,"chr1:9798094:9798246","chr1",9798094,9798246,"deseq2"
24.5379540612599,8.0174071901581,2.18765742847126,3.66483668138145,0.000247496465899943,0.00566920378031796,"chr1:9798509:9798681","chr1",9798509,9798681,"deseq2"
108.901184973394,-1.04219896956187,0.302686936242515,-3.44315807777991,0.000574963131254424,0.0112648546909223,"chr1:13372066:13372383","chr1",13372066,13372383,"deseq2"
17.4705650035493,-7.60391962636542,2.52287692512654,-3.01398754359927,0.00257838391966532,0.0368726110627229,"chr1:13373310:13373468","chr1",13373310,13373468,"deseq2"
41.0572386600556,-8.83466217807177,1.79739081194815,-4.9152705796332,8.86599213016147e-07,5.41846733693062e-05,"chr1:13373574:13373865","chr1",13373574,13373865,"deseq2"
23.6035130438112,7.95960232785381,2.21640622264469,3.59121998780357,0.000329133669581629,0.00712532886688864,"chr1:15805293:15805448","chr1",15805293,15805448,"deseq2"
24.8267322793913,8.03382644638845,2.15099036577219,3.73494301705269,0.00018775769596256,0.00454331588924329,"chr1:16665356:16665514","chr1",16665356,16665514,"deseq2"
40.8723745063471,8.75315581093521,1.69478481284157,5.16475941052315,2.40748380136978e-07,1.8635648815245e-05,"chr1:20819982:20820274","chr1",20819982,20820274,"deseq2"
19.1877132819988,-7.73896183135961,2.41797641454082,-3.20059442466864,0.00137144424827682,0.0223837649750214,"chr1:23255685:23255850","chr1",23255685,23255850,"deseq2"
67.31235963512,1.63991911946023,0.474584974495622,3.4554804884059,0.000549312947879032,0.0108440535718013,"chr1:23826970:23827348","chr1",23826970,23827348,"deseq2"
97.6339045591713,1.05465307738185,0.343328254909626,3.0718505171078,0.00212736230866802,0.0316662844033177,"chr1:23899633:23899889","chr1",23899633,23899889,"deseq2"
