"gene_id","gene_label","log2FC_deseq2","padj_deseq2","logFC_limma","padj_limma","gene_symbol_limma","entrez_id","gene_symbol","mean_log2FoldChange","best_padj","n_dars","representative_annotation","direction"
"ENSMUSG00000075184","F930017D23Rik",18.991106571206,2.90928962554615e-32,16.1117592571567,3.24096596993671e-05,"F930017D23Rik","414125","F930017D23Rik",0.917695066653997,2.03887961152736e-19,13,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000091650","Apol11a",17.3964746153592,4.34526506222726e-27,14.6960205255009,2.27641687501839e-05,"Apol11a","626615","Apol11a",4.72314651782871,1.62913041170492e-07,5,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000073063","Hbq1b",15.7530139568341,4.13330712963745e-22,13.1604218566353,1.77923743791505e-05,"Hbq1b","544763","Hbq1b",6.76347523962305,6.43018332972181e-14,2,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000050982","Apol10a",15.3378685184646,1.264346145189e-20,12.7259360259132,2.6589306412352e-05,"Apol10a","245282","Apol10a",7.65839360654351,1.49928856086993e-05,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000006574","Slc4a1",15.2446300554827,7.28092296995633e-84,15.2110178255217,5.56198771249264e-06,"Slc4a1","20533","Slc4a1",9.84023904860622,3.51115330051344e-11,4,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000025270","Alas2",14.9403807737982,0,14.7006608495931,9.68764705858205e-06,"Alas2","11656","Alas2",4.80692479409376,3.71125627294395e-10,9,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000069814","Ccdc92b",14.7788222728478,1.66712984604784e-45,14.4813209362351,7.31636419870048e-06,"Ccdc92b","432582","Ccdc92b",4.84810352950527,2.23441247678999e-06,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000050157","Gm867",14.7151238022509,1.00778692650798e-18,12.1712136513054,3.28195710255745e-05,"Gm867","333670","Gm867",9.00318363954278,3.30168999411958e-09,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000032591","Mst1",13.9606151547245,1.33160598441617e-15,11.3563440993957,0.000100450619228412,"Mst1","15235","Mst1",10.4493034593045,2.42931560957058e-10,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000078721","Spata31f1a",13.6162597280438,3.08807535315025e-15,11.2885244796002,6.01387228329091e-05,"Spata31f1a","433698","Spata31f1a",5.72554012805755,1.32541508753615e-13,2,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000052305","Hbb-b1",13.2162111701105,0,13.5258598976891,2.10382411436809e-06,"Hbb-b1","15129","Hbb-b1",5.13155878981103,1.26948571367389e-15,5,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000091694","Apol11b",13.109116385858,1.62006667371541e-07,15.7847400126073,0.000131199792090403,"Apol11b","328563","Apol11b",7.8137403937749,5.27678995088517e-08,6,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000045094","Arhgef37",13.1072861720607,1.610598472767e-13,10.7073547635895,9.65862459362872e-05,"Arhgef37","328967","Arhgef37",0.817956273213116,3.68039888758818e-07,7,"Intron (ENSMUST00000171629.2/328967, intron 11 of 12)","Up in Erythroblast and more open in Erythroblast"
