"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","comparison"
124151.635163952,5.49591051823384,0.152859499401238,35.9540005021717,4.3828599231751e-283,5.50136577556939e-279,"ENSMUSG00000022100.9","Erythroblast vs CFUE"
126543.624416248,4.66880402349244,0.131739195174316,35.4397490990795,4.17273817369185e-275,2.61881047780901e-271,"ENSMUSG00000042066.11","Erythroblast vs CFUE"
29724.4445311552,3.94655284236943,0.139916996710674,28.206386180017,4.88264876938221e-175,2.04290024510952e-171,"ENSMUSG00000024052.13","Erythroblast vs CFUE"
19078.6981635406,4.90576632993137,0.174498591265731,28.1135010566403,6.69949946728036e-174,2.10230293283258e-170,"ENSMUSG00000037287.10","Erythroblast vs CFUE"
26156.852459516,3.51352459095629,0.126385815096823,27.799991543866,4.33874028818612e-170,1.08919736194624e-166,"ENSMUSG00000082101.3","Erythroblast vs CFUE"
21920.465819717,3.53166032930361,0.12832146320209,27.521976769714,9.583240641695e-167,2.00481394224259e-163,"ENSMUSG00000033767.10","Erythroblast vs CFUE"
16961.4433247504,3.57111678233783,0.139086589234035,25.6754932449228,2.19574691907378e-145,3.93728790403059e-142,"ENSMUSG00000021792.11","Erythroblast vs CFUE"
41989.8755531197,2.83680911445591,0.123505379908466,22.9691137062884,9.49281619725772e-117,1.48942286134974e-113,"ENSMUSG00000027346.11","Erythroblast vs CFUE"
7843.75202874817,3.38132367175823,0.148590253507273,22.7560259973089,1.25081806463981e-114,1.74447426081766e-111,"ENSMUSG00000045730.3","Erythroblast vs CFUE"
28363.6595398244,3.8025392964824,0.170219439993556,22.3390424538252,1.5431567163177e-110,1.93697031032198e-107,"ENSMUSG00000038871.5","Erythroblast vs CFUE"
13187.8983795361,3.65320059603866,0.164480804218147,22.2104981393057,2.71906467840996e-109,3.1026999857638e-106,"ENSMUSG00000007659.14","Erythroblast vs CFUE"
16667.2138452854,-3.2359275926041,0.146330631462256,-22.1138087102341,2.32773119843963e-108,2.43480683356785e-105,"ENSMUSG00000033952.10","Erythroblast vs CFUE"
52282.4075720862,2.64804421224113,0.121974552999237,21.7098087029488,1.65746048975279e-104,1.60034185133669e-101,"ENSMUSG00000044468.10","Erythroblast vs CFUE"
20677.9701747771,-2.80034981276385,0.129444538566678,-21.6335879734421,8.6765285246328e-104,7.77912757437078e-101,"ENSMUSG00000027326.9","Erythroblast vs CFUE"
29722.2644433402,2.91264058217179,0.135461004477742,21.5016904193293,1.50119238286657e-102,1.25619778598275e-99,"ENSMUSG00000020802.8","Erythroblast vs CFUE"
16486.0393826351,3.79754547501558,0.178884864984637,21.2289926000263,5.15558182048179e-100,4.04455393816796e-97,"ENSMUSG00000039159.12","Erythroblast vs CFUE"
69129.4308884635,2.52294659116655,0.126183818140181,19.9942165988648,6.18424029415246e-89,4.56615201012951e-86,"ENSMUSG00000053641.8","Erythroblast vs CFUE"
33001.3781325321,3.32174331419674,0.168511368117468,19.7122802532894,1.6916955104744e-86,1.17967566930415e-83,"ENSMUSG00000002944.11","Erythroblast vs CFUE"
17974.7620003256,2.62205732575817,0.134801819262798,19.4512013272345,2.8468276517652e-84,1.88070424657667e-81,"ENSMUSG00000034059.9","Erythroblast vs CFUE"
1828.46132150217,5.06398741651668,0.260652041440308,19.4281517556285,4.46139273540518e-84,2.66663817213361e-81,"ENSMUSG00000069206.9","Erythroblast vs CFUE"
7193.02234995491,2.98090042069443,0.153413810218588,19.4304568568316,4.2654874153257e-84,2.66663817213361e-81,"ENSMUSG00000101823.1","Erythroblast vs CFUE"
57452.9122107166,2.46372711878238,0.127536870975848,19.3177635606957,3.80794558179926e-83,2.0781449105541e-80,"ENSMUSG00000042331.9","Erythroblast vs CFUE"
6129.97832619936,-3.11602259843095,0.161288519425852,-19.3195560944029,3.677996521551e-83,2.0781449105541e-80,"ENSMUSG00000047534.12","Erythroblast vs CFUE"
